Unnamed: 0,agencyId,surfaceLiving,numberRooms,city,advertisementId,geo,geoLocation,price,norm_price,neighborhood_price,realvalue,Lon,Lat,disco,kids
7085,nhpk,139.0,4.5,Ebikon,105971311,5387,"8.3572856,47.0849551",890000.0,6402.87769784,9452.02943863,0.0173724150665,8.3572856,47.0849551,-1.390318357,-1.33159297404
7087,gei,145.0,4.5,Ebikon,105951514,5378,"8.3560067,47.0860141",990000.0,6827.5862069,12055.2031389,0.320029460819,8.3560067,47.0860141,-1.39076395857,-1.33256160343
7089,gei,168.0,5.5,Ebikon,105951515,5377,"8.3559773,47.0860459",1250000.0,7440.47619048,12055.2031389,0.234879846059,8.3559773,47.0860459,-1.390777296,-1.33258733786
7095,hiwsub,98.0,4.5,Ebmatingen,105862957,6697,"8.6399610,47.3514300",790000.0,8061.2244898,8233.52142284,-0.382312822355,8.639961,47.35143,-1.35751021785,-1.18935664459
7096,nic901,110.0,4.5,Ebmatingen,105966673,6697,"8.6399610,47.3514300",890000.0,8090.90909091,8233.52142284,-0.386436943188,8.639961,47.35143,-1.35751021785,-1.18935664459
7104,raw2,160.0,6.5,Ebnat-Kappel,105526360,9291,"9.1500130,47.2571328",645000.0,4031.25,7367.39763887,0.0572451341737,9.150013,47.2571328,-0.739387233659,-0.48990608701
7115,b142,130.0,3.5,Echallens,105891192,623,"6.6344330,46.6410840",475000.0,3653.84615385,5914.13628771,-0.0922251697012,6.634433,46.641084,0.695716099617,0.529471250877
7116,b519,95.0,3.0,Echallens,105936752,623,"6.6344330,46.6410840",539000.0,5673.68421053,5914.13628771,-0.372843938179,6.634433,46.641084,0.695716099617,0.529471250877
7117,b142,106.0,4.5,Echallens,105950849,623,"6.6344330,46.6410840",585000.0,5518.86792453,5914.13628771,-0.351335107125,6.634433,46.641084,0.695716099617,0.529471250877
7118,d506,102.0,4.5,Echallens,105672740,623,"6.6344330,46.6410840",585000.0,5735.29411765,5914.13628771,-0.381403483933,6.634433,46.641084,0.695716099617,0.529471250877
7123,d283,132.0,4.5,Echallens,105896413,623,"6.6344330,46.6410840",690000.0,5227.27272727,5914.13628771,-0.310823401309,6.634433,46.641084,0.695716099617,0.529471250877
7124,b142,136.0,4.5,Echallens,105993766,623,"6.6344330,46.6410840",710000.0,5220.58823529,5914.13628771,-0.309894716012,6.634433,46.641084,0.695716099617,0.529471250877
7125,a252,166.0,6.5,Echallens,105986950,623,"6.6344330,46.6410840",790000.0,4759.03614458,5914.13628771,-0.245770674554,6.634433,46.641084,0.695716099617,0.529471250877
7127,a449,160.0,6.5,Echallens,105302380,623,"6.6344330,46.6410840",890000.0,5562.5,5914.13628771,-0.357396968988,6.634433,46.641084,0.695716099617,0.529471250877
7129,b142,154.0,6.5,Echallens,105941918,623,"6.6344330,46.6410840",895000.0,5811.68831169,5914.13628771,-0.392017030192,6.634433,46.641084,0.695716099617,0.529471250877
7132,b519,240.0,6.0,Echallens,105930114,623,"6.6344330,46.6410840",1190000.0,4958.33333333,5914.13628771,-0.273459296166,6.634433,46.641084,0.695716099617,0.529471250877
7133,b519,250.0,6.0,Echallens,105912351,623,"6.6344330,46.6410840",1195000.0,4780.0,5914.13628771,-0.248683210671,6.634433,46.641084,0.695716099617,0.529471250877
7145,b454,130.0,4.5,Echichens,105851466,465,"6.4982830,46.5260920",1015000.0,7807.69230769,9098.39638637,-0.226931040719,6.498283,46.526092,1.04982703221,0.882847279514
7146,d460,115.0,4.5,Echichens,105767259,465,"6.4982830,46.5260920",1020000.0,8869.56521739,9098.39638637,-0.374458446302,6.498283,46.526092,1.04982703221,0.882847279514
7149,d460,120.0,5.5,Echichens,105532787,465,"6.4982830,46.5260920",1050000.0,8750.0,9098.39638637,-0.35784709276,6.498283,46.526092,1.04982703221,0.882847279514
7150,d460,120.0,5.5,Echichens,105532790,465,"6.4982830,46.5260920",1050000.0,8750.0,9098.39638637,-0.35784709276,6.498283,46.526092,1.04982703221,0.882847279514
7153,d460,135.0,5.5,Echichens,105532779,465,"6.4982830,46.5260920",1190000.0,8814.81481481,9098.39638637,-0.366851900572,6.498283,46.526092,1.04982703221,0.882847279514
7154,d460,135.0,5.5,Echichens,105532756,465,"6.4982830,46.5260920",1195000.0,8851.85185185,9098.39638637,-0.371997505036,6.498283,46.526092,1.04982703221,0.882847279514
7158,b215,189.0,5.5,Echichens,105619267,465,"6.4982830,46.5260920",1490000.0,7883.5978836,9098.39638637,-0.237476702615,6.498283,46.526092,1.04982703221,0.882847279514
7159,sw272,250.0,6.5,Echichens,105871261,465,"6.4982830,46.5260920",2100000.0,8400.0,9098.39638637,-0.309221130573,6.498283,46.526092,1.04982703221,0.882847279514
7161,sw390,500.0,9.0,Echichens,105989600,465,"6.4982830,46.5260920",3900000.0,7800.0,9098.39638637,-0.225862338253,6.498283,46.526092,1.04982703221,0.882847279514
7173,d443,110.0,4.5,Ecublens FR,105286044,836,"6.8074878,46.6106711",520000.0,4727.27272727,6310.35021848,-0.186311216428,6.8074878,46.6106711,0.389452281802,0.224299424931
7174,b142,146.0,4.5,Ecublens FR,105996865,842,"6.8088760,46.6081230",700000.0,4794.52054795,5585.81557277,-0.296314600057,6.808876,46.608123,0.388811277876,0.22376690449
7176,d346,82.0,3.0,Ecublens VD,106008724,543,"6.5658710,46.5290550",650000.0,7926.82926829,8726.4253002,-0.295161330182,6.565871,46.529055,0.907273446012,0.741283649787
7177,d346,84.0,3.0,Ecublens VD,106008723,543,"6.5658710,46.5290550",680000.0,8095.23809524,8726.4253002,-0.318558590899,6.565871,46.529055,0.907273446012,0.741283649787
7178,d327,137.0,5.5,Ecublens VD,105956483,543,"6.5658710,46.5290550",940000.0,6861.31386861,8726.4253002,-0.147127868656,6.565871,46.529055,0.907273446012,0.741283649787
7182,a479,200.0,5.5,Ecublens VD,104708556,545,"6.5672332,46.5382444",1175000.0,5875.0,8177.59720857,-0.0863473919453,6.5672332,46.5382444,0.89771035202,0.731677385572
7183,a449,175.0,5.5,Ecublens VD,105891704,543,"6.5658710,46.5290550",1300000.0,7428.57142857,8726.4253002,-0.225937710543,6.565871,46.529055,0.907273446012,0.741283649787
7188,a500,180.0,7.0,Ecublens VD,104970535,543,"6.5658710,46.5290550",1520000.0,8444.44444444,8726.4253002,-0.367074290133,6.565871,46.529055,0.907273446012,0.741283649787
7189,d457,220.0,6.0,Ecublens VD,105915258,543,"6.5658710,46.5290550",1675000.0,7613.63636364,8726.4253002,-0.251649026356,6.565871,46.529055,0.907273446012,0.741283649787
7193,a327,336.0,7.5,Ecublens VD,105270444,543,"6.5658710,46.5290550",2480000.0,7380.95238095,8726.4253002,-0.219321933375,6.565871,46.529055,0.907273446012,0.741283649787
7202,m045,200.0,5.5,Effingen,105172985,4327,"8.1025898,47.4877260",936000.0,4680.0,9554.90725195,0.271027039203,8.1025898,47.487726,-1.19830738796,-1.25469887263
7203,m045,200.0,5.5,Effingen,105707920,4329,"8.1027660,47.4877579",942000.0,4710.0,8545.8666808,0.126671760565,8.102766,47.4877579,-1.19839200825,-1.2547021427
7207,hgol,130.0,5.5,Effretikon,105936053,6948,"8.6902466,47.4221200",845000.0,6500.0,8787.76861569,-0.088407547935,8.6902466,47.42212,-1.28094538927,-1.10678566027
